event_count,code_edit_count,cursor_move_count,editor_focus_count,mean_inter_event_time,std_inter_event_time,mean_edit_length,std_edit_length,large_edit_count
12,6,6,0,0.23962058330124075,0.36239799157251107,296.6666666666667,1.9720265943665387,6
14,7,7,0,0.26027377888273734,0.36720412971479466,299.14285714285717,6.334228364970103,7
13,6,6,0,0.39191127428784966,0.5624561791182614,302.5,6.922186552431729,6
9,4,4,0,0.45428903645370156,0.6389055814461675,305.5,6.689544080129826,4
9,3,5,0,0.5636221300810575,0.6500956691974493,308.0,5.887840577551898,3
16,5,7,0,0.3192951389277975,0.5320150536023378,308.4,3.6110940170535577,5
17,5,7,0,0.23557931248797104,0.3806948080522556,305.4,3.9293765408777004,5
17,5,7,0,0.18077284639002755,0.25801058739976934,303.0,4.049691346263317,5
21,7,9,0,0.22706734375096857,0.31625212608000786,304.14285714285717,5.383269623261935,7
19,7,7,0,0.18685828237276939,0.3078617804031097,304.14285714285717,5.383269623261935,7
10,4,4,0,0.23824177775532007,0.3602478001779673,302.75,6.53356717268599,4
9,4,4,0,0.6045316718518734,1.0398847970299878,306.75,7.790218225441442,4
8,4,4,0,0.5666391547503216,1.0880850455487923,311.25,6.53356717268599,4
6,3,3,0,0.2850977830588818,0.4898719945125001,316.3333333333333,1.247219128924647,3
6,3,3,0,0.2850977830588818,0.4898719945125001,316.3333333333333,1.247219128924647,3
6,3,3,0,0.2850977830588818,0.4898719945125001,316.3333333333333,1.247219128924647,3
4,2,2,0,0.42003104152778786,0.5915729534141183,317.0,1.0,2
4,2,2,0,0.2988233333453536,0.4217493330461726,319.5,0.5,2
6,3,3,0,0.3467922585085034,0.42414355592051295,320.0,0.816496580927726,3
6,3,3,0,0.3467922585085034,0.42414355592051295,320.0,0.816496580927726,3
7,3,4,0,0.6104207083893319,0.7052762541186185,320.0,0.816496580927726,3
7,3,4,0,0.6104207083893319,0.7052762541186185,320.0,0.816496580927726,3
